Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
WASP-77 A b,1.083,0.617,0.185,1.23,1.667,2011,1691,3.436,1.36,2.1653,8.4,105.17,5617,4.48,TRUE,nexsci
WASP-78 b,0.654,0.164,0.098,1.93,1.11,2938,2470,2.868,2.1752,4.968,11,754.26,6100,4.1,TRUE,nexsci
WASP-79 b,0.464,0.285,0.251,1.53,0.85,2041,1717,2.954,3.6624,3.767,9.1,246.69,6600,4.2,TRUE,nexsci
WASP-7 b,0.272,0.258,0.193,1.33,0.96,1767,1486,3.129,4.9546,3.8457,8.4,162.3,6400,4.23,TRUE,nexsci
WASP-90 b,0.242,0.12,0.139,1.63,0.63,2189,1840,2.769,3.9162,3.3552,10.2,466.43,6430,4.03,TRUE,nexsci
WASP-91 b,0.065,0.143,0.058,1.03,1.34,1360,1144,3.496,2.7986,2.3401,9.7,149.94,4920,4.3,TRUE,nexsci
WASP-80 b,0.024,0.267,0.363,1,0.538,984,827,3.126,3.0679,2.131,8.4,49.79,4143,4.66,TRUE,nexsci
WASP-81 b,0.222,0.149,0.13,1.43,0.729,1926,1620,2.947,2.7165,3.5299,10.9,398.5,5870,4.26,TRUE,nexsci
WASP-82 b,0.948,0.329,0.184,1.62,1.17,2547,2142,3.043,2.7058,4.992,8.8,275.66,6480,3.96,TRUE,nexsci
WASP-83 b,0.027,0.07,0.154,1.04,0.3,1333,1121,2.837,4.9713,3.3648,10.4,271.1,5510,4.44,TRUE,nexsci
WASP-84 b,0.004,0.085,0.132,0.96,0.692,940,791,3.273,8.5235,2.7689,8.9,100.59,5280,4.6,TRUE,nexsci
WASP-85 A b,0.364,0.366,0.188,1.24,1.265,1721,1447,3.309,2.6557,2.5958,8.7,141.89,6112,4.5,TRUE,nexsci
WASP-88 b,0.177,0.122,0.21,1.46,0.42,1951,1640,2.689,4.954,6.048,10.3,523.76,6430,3.96,TRUE,nexsci
WASP-89 b,0.029,0.071,0.007,1.04,5.9,1335,1123,4.131,3.3564,2.46,11,290.95,5130,4.52,TRUE,nexsci
WASP-8 b,0.034,0.193,0.07,1.13,2.54,1152,968,3.693,8.1587,4.427,8.1,89.96,5600,4.5,TRUE,nexsci
WASP-92 b,0.249,0.116,0.09,1.46,0.805,2235,1879,2.971,2.1747,2.8461,11.5,575.89,6280,4.26,TRUE,nexsci
WASP-93 b,0.43,0.192,0.094,1.6,1.47,2308,1941,3.155,2.7325,2.2344,9.9,370.28,6700,4.2,TRUE,nexsci
WASP-94 A b,0.413,0.336,0.527,1.58,0.5,1835,1543,2.696,3.9502,4.5644,8.9,211.21,6170,4.27,TRUE,nexsci
WASP-95 b,0.58,0.343,0.125,1.23,1.44,2006,1687,3.373,2.1847,2.8653,8.6,137.54,5830,4.36,TRUE,nexsci
WASP-96 b,0.059,0.086,0.113,1.2,0.48,1529,1286,2.917,3.4253,2.4264,10.9,352.46,5540,4.42,TRUE,nexsci
WASP-97 b,0.353,0.261,0.097,1.14,1.36,1849,1555,3.414,2.0728,2.5899,9,151.07,5640,4.45,TRUE,nexsci
WASP-98 b,0.044,0.096,0.07,1.14,0.922,1392,1170,3.242,2.9626,1.908,11.3,281.74,5473,4.61,TRUE,nexsci
WASP-99 b,0.139,0.15,0.034,1.02,2.43,1687,1418,3.763,5.7525,5.4013,8.1,158.66,6150,4.3,TRUE,nexsci
WTS-2 b,0.127,0.089,0.041,1.36,1.12,1823,1533,3.174,1.0187,1.4948,13.4,1030.77,5000,4.6,TRUE,nexsci
XO-2 N b,0.136,0.166,0.14,0.99,0.566,1588,1336,3.153,2.6159,2.6839,9.3,154.27,5340,4.43,TRUE,nexsci
XO-1 b,0.082,0.18,0.154,1.14,0.83,1400,1177,3.199,3.9415,2.9712,9.5,163.55,5750,4.51,TRUE,nexsci
XO-3 b,0.416,0.233,0.021,1.41,7.29,2097,1763,3.959,3.1915,2.5032,8.8,213.05,6429,3.95,TRUE,nexsci
XO-4 b,0.216,0.166,0.074,1.25,1.42,1879,1580,3.353,4.1251,4.297,9.4,272.65,6397,4.18,TRUE,nexsci
XO-5 b,0.052,0.091,0.048,1.14,1.19,1459,1227,3.356,4.1878,3.1176,10.3,276.21,5430,4.35,TRUE,nexsci
XO-6 b,0.254,0.205,0.052,2.07,4.4,1875,1577,3.406,3.765,2.663,9.2,235.48,6720,4.04,TRUE,nexsci
HD 219666 b,0.001,0.01,0.074,0.38,0.05223,997,839,2.957,6.0434,2.158,8.2,94.17,5527,4.4,TRUE,nexsci
HD 1397 b,0.119,0.208,0.287,1.03,0.415,1462,1230,2.99,11.5353,8.6016,6,79.57,5521,3.82,TRUE,nexsci
pi Men c,0.014,0.029,0.301,0.18,0.01142,1438,1209,2.922,6.2679,2.969,4.2,18.27,6037,4.36,TRUE,nexsci
WASP-147 b,0.06,0.064,0.129,1.11,0.275,1669,1403,2.739,4.6027,4.3944,10.9,436.1,5702,4.21,TRUE,nexsci
WASP-160 B b,0.031,0.08,0.189,1.09,0.278,1333,1121,2.763,3.7685,2.8442,11.1,288.33,5298,4.5,TRUE,nexsci
KELT-23 A b,0.495,0.372,0.243,1.32,0.938,1862,1565,3.123,2.2553,2.06,8.9,126.26,5899,4.42,TRUE,nexsci
WASP-164 b,0.169,0.115,0.027,1.13,2.13,1913,1608,3.618,1.7771,1.6037,11,327.51,5806,4.46,TRUE,nexsci
WASP-165 b,0.106,0.068,0.054,1.26,0.658,1934,1626,3.012,3.4655,4.176,11,602.24,5599,3.93,TRUE,nexsci
Kepler-1658 b,0.096,0.031,0.002,1.07,5.88,2598,2185,4.105,3.8494,2.6605,10.2,788.24,6216,3.67,TRUE,nexsci
HD 136352 b,0.002,0.015,0.136,0.15,0.01485,1077,906,3.225,11.578,3.935,4.2,14.68,5664,4.39,TRUE,nexsci
HATS-59 b,0.014,0.036,0.033,1.13,0.806,1341,1128,3.197,5.4161,3.5928,12.2,642.88,5670,4.42,TRUE,nexsci
HATS-70 b,0.267,0.066,0.003,1.38,12.9,3272,2751,4.223,1.8882,3.624,12,1458.83,7930,4.17,TRUE,nexsci
K2-289 b,0.001,0.019,0.087,0.81,0.192,979,823,2.858,13.157,4.032,10.6,274.3,5529,4.39,TRUE,nexsci
TOI-172 b,0.02,0.039,0.004,0.96,5.42,1429,1201,4.159,9.4772,4.7136,9.7,342.83,5645,3.99,TRUE,nexsci
Qatar-7 b,0.382,0.145,0.054,1.7,1.88,2438,2050,3.207,2.032,3.5784,11.6,705.98,6387,4.2,TRUE,nexsci
HD 202772 A b,1.449,0.497,0.294,1.54,1.017,2536,2133,3.024,3.309,5.6621,7,161.5,6272,3.85,TRUE,nexsci
HAT-P-66 b,0.206,0.09,0.076,1.63,0.77158,2257,1898,2.878,2.9721,4.6992,11.7,927,6002,3.993,TRUE,exoplanets.org
WASP-93 b,0.188,0.137,0.052,1.1,1.44377,1933,1626,3.489,2.7325,2.2344,9.9,250,6700,4.5,TRUE,exoplanets.org
WASP-161 b,0.107,0.087,0.021,1.14,2.49,1850,1556,3.674,5.406,5.1288,9.8,343.08,6400,4.11,TRUE,nexsci
NGTS-16 b,0.026,0.038,0.04,1.3,0.667,1531,1287,2.99,4.8453,3.061,12.6,898.17,5550,4.35,TRUE,nexsci
WASP-163 b,0.338,0.21,0.055,1.2,1.87,1943,1634,3.506,1.6097,2.232,10.1,261.39,5500,4.41,TRUE,nexsci
WASP-170 b,0.111,0.11,0.036,1.1,1.6,1696,1426,3.519,2.3448,2.04,10.7,305.6,5600,4.47,TRUE,nexsci
LHS 3844 b,0.002,0.018,0.14,0.12,0.00708,964,811,3.115,0.4629,0.5212,9.1,14.88,3043,5.06,TRUE,nexsci
HATS-67 b,0.278,0.093,0.044,1.69,1.45,2606,2191,3.102,1.6092,1.9464,12.3,960.11,6594,4.28,TRUE,nexsci
HATS-61 b,0.02,0.035,0.007,1.2,3.4,1456,1224,3.771,7.818,5.5296,11.5,679.76,5542,4.03,TRUE,nexsci
